the	ちなまりうゆひほち	チナマリウユヒホチ
Axis B	たけ⊉ろちあ	タケ⍀ロチア
Axis C	あえけりむゆ	アエケリムユ
Axis D	⊁すせも⊇っ	⌸スセモ⌾ッ
hiragana	にりめひしそ	ニリメヒシソ
katakana	さめま	サメマ
syllabary	なえにぬ⊉まへ⊍	ナエニヌ⍀マヘ⍕
syllable	わひぬすっこ	ワヒヌスッコ
timbre	ゔしい⊊い⊀らお	ヴシイ⍁イ⌶ラオ
guttural	せ⊌⊂けわへこかの	セ⍢⌹ケワヘコカノ
discrete	いきのる	イキノル
matrix	なんいうほき	ナンイウホキ
modal voice (in contrast to breathy/creaky)	てへねち	テヘネチ
breathy voice	おう⊁	オウ⌸
creaky voice	⊅⊃⊉	⌼⌺⍀
modal voice (in contrast to nasal)	⊁むち⊉りかりこの	⌸ムチ⍀リカリコノ
nasal voice	め⊉⊃あ⊀れ	メ⍀⌺ア⌶レ
Krighteng	ゆたよふいり	ユタヨフイリ
Troteng	⊇らとんくくさ	⌾ラトンククサ
Hotejeng	こ⊁⊉すちっ⊄⊉み	コ⌸⍀スチッ⌻⍀ミ
Dastemme	めや⊌⊈め	メヤ⍢⌿メ
Desentemme	け⊈あと	ケ⌿アト
Duturemme	はっしとおっもた	ハッシトオッモタ
Tevvelnipe	⊂しな	⌹シナ
Desselnipe	⊅⊂へせるとりま	⌼⌹ヘセルトリマ
Zuttelnipe	めおろて⊊そ⊆	メオロテ⍁ソ⌽
Past - Krighteng - Dastemme - Tevvelnipe	⊈⊊⊄ろにお	⌿⍁⌻ロニオ
Past - Krighteng - Dastemme - Gesselnipe	りさい	リサイ
Past - Krighteng - Dastemme - Zuttelnipe	た⊍るは⊉よぬお	タ⍕ルハ⍀ヨヌオ
Past - Krighteng - Desentemme - Tevvelnipe	ろれせへな	ロレセヘナ
Past - Krighteng - Desentemme - Gesselnipe	てあすねよあうきろ	テアスネヨアウキロ
Past - Krighteng - Desentemme - Zuttelnipe	ゆてへんとねひせし	ユテヘントネヒセシ
Past - Krighteng - Duturemme - Tevvelnipe	っこれすは▣⊁	ッコレスハ◈⌸
Past - Krighteng - Duturemme - Gesselnipe	⊃⊋ちも⊁	⌺⍂チモ⌸
Past - Krighteng - Duturemme - Zuttelnipe	⊀やれ⊉そ	⌶ヤレ⍀ソ
Past - Troteng - Dastemme - Tevvelnipe	のもゔ⊋	ノモヴ⍂
Past - Troteng - Dastemme - Gesselnipe	⊅ま⊂あ⊌らしお	⌼マ⌹ア⍢ラシオ
Past - Troteng - Dastemme - Zuttelnipe	⊅⊌あるらも⊆ん	⌼⍢アルラモ⌽ン
Past - Troteng - Desentemme - Tevvelnipe	めなけ⊅⊀かうは⊌	メナケ⌼⌶カウハ⍢
Past - Troteng - Desentemme - Gesselnipe	く⊁ふろにれ⊀	ク⌸フロニレ⌶
Past - Troteng - Desentemme - Zuttelnipe	のん⊈	ノン⌿
Past - Troteng - Duturemme - Tevvelnipe	⊀⊊む	⌶⍁ム
Past - Troteng - Duturemme - Gesselnipe	らほも⊄いに	ラホモ⌻イニ
Past - Troteng - Duturemme - Zuttelnipe	まらおえんやなり	マラオエンヤナリ
Past - Hotejeng - Dastemme - Tevvelnipe	⊌⊅ねふま	⍢⌼ネフマ
Past - Hotejeng - Dastemme - Gesselnipe	⊁⊅なむうと	⌸⌼ナムウト
Past - Hotejeng - Dastemme - Zuttelnipe	▣⊄みわ	◈⌻ミワ
Past - Hotejeng - Desentemme - Tevvelnipe	へ⊀うけ⊅	ヘ⌶ウケ⌼
Past - Hotejeng - Desentemme - Gesselnipe	⊀くら	⌶クラ
Past - Hotejeng - Desentemme - Zuttelnipe	⊈にそせ⊅⊊	⌿ニソセ⌼⍁
Past - Hotejeng - Duturemme - Tevvelnipe	くちふふ	クチフフ
Past - Hotejeng - Duturemme - Gesselnipe	さゔゔ⊋やれふう	サヴヴ⍂ヤレフウ
Past - Hotejeng - Duturemme - Zuttelnipe	⊅めるにいゆ	⌼メルニイユ
Present - Krighteng - Dastemme - Tevvelnipe	へ⊆よ⊍ねてに⊍	ヘ⌽ヨ⍕ネテニ⍕
Present - Krighteng - Dastemme - Gesselnipe	めそのめ⊃⊉や	メソノメ⌺⍀ヤ
Present - Krighteng - Dastemme - Zuttelnipe	らし⊀わ⊀な	ラシ⌶ワ⌶ナ
Present - Krighteng - Desentemme - Tevvelnipe	やくけうゆいれち	ヤクケウユイレチ
Present - Krighteng - Desentemme - Gesselnipe	⊅あかみきふ	⌼アカミキフ
Present - Krighteng - Desentemme - Zuttelnipe	ら⊍ま	ラ⍕マ
Present - Krighteng - Duturemme - Tevvelnipe	ふしわにんろく	フシワニンロク
Present - Krighteng - Duturemme - Gesselnipe	え⊍⊇らてし	エ⍕⌾ラテシ
Present - Krighteng - Duturemme - Zuttelnipe	⊃さ⊆⊀わけね⊍ゔ	⌺サ⌽⌶ワケネ⍕ヴ
Present - Troteng - Dastemme - Tevvelnipe	さはめは	サハメハ
Present - Troteng - Dastemme - Gesselnipe	⊍のく	⍕ノク
Present - Troteng - Dastemme - Zuttelnipe	こんや⊆め⊋も▣	コンヤ⌽メ⍂モ◈
Present - Troteng - Desentemme - Tevvelnipe	れあふみんもす⊆く	レアフミンモス⌽ク
Present - Troteng - Desentemme - Gesselnipe	えにぬぬねるん	エニヌヌネルン
Present - Troteng - Desentemme - Zuttelnipe	⊊かんへかゔとみ	⍁カンヘカヴトミ
Present - Troteng - Duturemme - Tevvelnipe	むと⊇ませひ	ムト⌾マセヒ
Present - Troteng - Duturemme - Gesselnipe	いも⊌えういはき	イモ⍢エウイハキ
Present - Troteng - Duturemme - Zuttelnipe	ひえね⊌お⊂⊅	ヒエネ⍢オ⌹⌼
Present - Hotejeng - Dastemme - Tevvelnipe	なゔほ⊃ほんね	ナヴホ⌺ホンネ
Present - Hotejeng - Dastemme - Gesselnipe	うへけれえと	ウヘケレエト
Present - Hotejeng - Dastemme - Zuttelnipe	⊃あめふ▣⊆⊈	⌺アメフ◈⌽⌿
Present - Hotejeng - Desentemme - Tevvelnipe	すふあ	スフア
Present - Hotejeng - Desentemme - Gesselnipe	りのかれそ	リノカレソ
Present - Hotejeng - Desentemme - Zuttelnipe	る⊂⊅いいお	ル⌹⌼イイオ
Present - Hotejeng - Duturemme - Tevvelnipe	ふ⊌⊁に⊂け	フ⍢⌸ニ⌹ケ
Present - Hotejeng - Duturemme - Gesselnipe	⊉▣⊊め⊍ちてゔ	⍀◈⍁メ⍕チテヴ
Present - Hotejeng - Duturemme - Zuttelnipe	め⊃たきお	メ⌺タキオ
Future - Krighteng - Dastemme - Tevvelnipe	あは⊋さ⊍うほん	アハ⍂サ⍕ウホン
Future - Krighteng - Dastemme - Gesselnipe	こはえやとむ	コハエヤトム
Future - Krighteng - Dastemme - Zuttelnipe	⊍そてに	⍕ソテニ
Future - Krighteng - Desentemme - Tevvelnipe	⊅まい	⌼マイ
Future - Krighteng - Desentemme - Gesselnipe	はもなふねっ⊈⊉⊅	ハモナフネッ⌿⍀⌼
Future - Krighteng - Desentemme - Zuttelnipe	⊍めようまたけり	⍕メヨウマタケリ
Future - Krighteng - Duturemme - Tevvelnipe	⊁まぬるろのうせ	⌸マヌルロノウセ
Future - Krighteng - Duturemme - Gesselnipe	っあ⊅	ッア⌼
Future - Krighteng - Duturemme - Zuttelnipe	くんにうう	クンニウウ
Future - Troteng - Dastemme - Tevvelnipe	お⊄⊆▣▣ゔ⊄う	オ⌻⌽◈◈ヴ⌻ウ
Future - Troteng - Dastemme - Gesselnipe	さ⊆かにはろせせろ	サ⌽カニハロセセロ
Future - Troteng - Dastemme - Zuttelnipe	ゔゆすえ	ヴユスエ
Future - Troteng - Desentemme - Tevvelnipe	なふこくよむ	ナフコクヨム
Future - Troteng - Desentemme - Gesselnipe	ほとや⊃っらて⊂	ホトヤ⌺ッラテ⌹
Future - Troteng - Desentemme - Zuttelnipe	⊆⊅⊀まてお	⌽⌼⌶マテオ
Future - Troteng - Duturemme - Tevvelnipe	⊄ゔにれ	⌻ヴニレ
Future - Troteng - Duturemme - Gesselnipe	てん⊊ほこく⊂⊉あ	テン⍁ホコク⌹⍀ア
Future - Troteng - Duturemme - Zuttelnipe	あ⊂たわ	ア⌹タワ
Future - Hotejeng - Dastemme - Tevvelnipe	けくにと⊁▣ねいあ	ケクニト⌸◈ネイア
Future - Hotejeng - Dastemme - Gesselnipe	ひすゆけ⊃ふふ⊁	ヒスユケ⌺フフ⌸
Future - Hotejeng - Dastemme - Zuttelnipe	にしやとみのり	ニシヤトミノリ
Future - Hotejeng - Desentemme - Tevvelnipe	ゔくやわ⊉	ヴクヤワ⍀
Future - Hotejeng - Desentemme - Gesselnipe	⊄ひれねゔぬ	⌻ヒレネヴヌ
Future - Hotejeng - Desentemme - Zuttelnipe	ろいめ▣か	ロイメ◈カ
Future - Hotejeng - Duturemme - Tevvelnipe	⊂くれい⊃そて	⌹クレイ⌺ソテ
Future - Hotejeng - Duturemme - Gesselnipe	け⊍そ⊍	ケ⍕ソ⍕
Future - Hotejeng - Duturemme - Zuttelnipe	へろ⊉すもくゆてい	ヘロ⍀スモクユテイ
Past - Krighteng - Dastemme - Tevvelnipe (verb tense suffix)	やわぬと⊊⊆⊀⊄▣	ヤワヌト⍁⌽⌶⌻◈
Past - Krighteng - Dastemme - Gesselnipe (verb tense suffix)	えれよ⊇ほぬ	エレヨ⌾ホヌ
Past - Krighteng - Dastemme - Zuttelnipe (verb tense suffix)	のこ⊉⊄に	ノコ⍀⌻ニ
Past - Krighteng - Desentemme - Tevvelnipe (verb tense suffix)	▣ゆ⊁	◈ユ⌸
Past - Krighteng - Desentemme - Gesselnipe (verb tense suffix)	のあ⊆ほろさ	ノア⌽ホロサ
Past - Krighteng - Desentemme - Zuttelnipe (verb tense suffix)	ま⊄わならなく	マ⌻ワナラナク
Past - Krighteng - Duturemme - Tevvelnipe (verb tense suffix)	るひらまわもてへ	ルヒラマワモテヘ
Past - Krighteng - Duturemme - Gesselnipe (verb tense suffix)	か⊍ら⊄んにおわ	カ⍕ラ⌻ンニオワ
Past - Krighteng - Duturemme - Zuttelnipe (verb tense suffix)	らさ⊃す	ラサ⌺ス
Past - Troteng - Dastemme - Tevvelnipe (verb tense suffix)	⊄⊃⊊と	⌻⌺⍁ト
Past - Troteng - Dastemme - Gesselnipe (verb tense suffix)	け⊄の	ケ⌻ノ
Past - Troteng - Dastemme - Zuttelnipe (verb tense suffix)	こいっへねなもむ	コイッヘネナモム
Past - Troteng - Desentemme - Tevvelnipe (verb tense suffix)	む⊀き⊅	ム⌶キ⌼
Past - Troteng - Desentemme - Gesselnipe (verb tense suffix)	⊉⊇⊃きもせ	⍀⌾⌺キモセ
Past - Troteng - Desentemme - Zuttelnipe (verb tense suffix)	⊈ふおさ⊅	⌿フオサ⌼
Past - Troteng - Duturemme - Tevvelnipe (verb tense suffix)	⊀こきよるき	⌶コキヨルキ
Past - Troteng - Duturemme - Gesselnipe (verb tense suffix)	こる⊋え⊁たっ	コル⍂エ⌸タッ
Past - Troteng - Duturemme - Zuttelnipe (verb tense suffix)	⊋ね⊃っよひお	⍂ネ⌺ッヨヒオ
Past - Hotejeng - Dastemme - Tevvelnipe (verb tense suffix)	ほまも⊋むもあ	ホマモ⍂ムモア
Past - Hotejeng - Dastemme - Gesselnipe (verb tense suffix)	けゔ⊄み	ケヴ⌻ミ
Past - Hotejeng - Dastemme - Zuttelnipe (verb tense suffix)	おたもちよ⊂るちっ	オタモチヨ⌹ルチッ
Past - Hotejeng - Desentemme - Tevvelnipe (verb tense suffix)	かにほとくえろ	カニホトクエロ
Past - Hotejeng - Desentemme - Gesselnipe (verb tense suffix)	たよわた⊇のたの	タヨワタ⌾ノタノ
Past - Hotejeng - Desentemme - Zuttelnipe (verb tense suffix)	ふそひむ⊆	フソヒム⌽
Past - Hotejeng - Duturemme - Tevvelnipe (verb tense suffix)	た⊍す	タ⍕ス
Past - Hotejeng - Duturemme - Gesselnipe (verb tense suffix)	えきさ⊌か⊊きまお	エキサ⍢カ⍁キマオ
Past - Hotejeng - Duturemme - Zuttelnipe (verb tense suffix)	かかるはっすふ	カカルハッスフ
Present - Krighteng - Dastemme - Tevvelnipe (verb tense suffix)	ひゔすりとねゆの	ヒヴスリトネユノ
Present - Krighteng - Dastemme - Gesselnipe (verb tense suffix)	わなな	ワナナ
Present - Krighteng - Dastemme - Zuttelnipe (verb tense suffix)	⊊ほへふね	⍁ホヘフネ
Present - Krighteng - Desentemme - Tevvelnipe (verb tense suffix)	なゆな	ナユナ
Present - Krighteng - Desentemme - Gesselnipe (verb tense suffix)	⊀ちする⊊	⌶チスル⍁
Present - Krighteng - Desentemme - Zuttelnipe (verb tense suffix)	⊉▣た	⍀◈タ
Present - Krighteng - Duturemme - Tevvelnipe (verb tense suffix)	ちくいふみ	チクイフミ
Present - Krighteng - Duturemme - Gesselnipe (verb tense suffix)	お⊅⊊やんおわす	オ⌼⍁ヤンオワス
Present - Krighteng - Duturemme - Zuttelnipe (verb tense suffix)	⊊あるひらせとち	⍁アルヒラセトチ
Present - Troteng - Dastemme - Tevvelnipe (verb tense suffix)	きとく	キトク
Present - Troteng - Dastemme - Gesselnipe (verb tense suffix)	▣て⊉⊇せ⊉て	◈テ⍀⌾セ⍀テ
Present - Troteng - Dastemme - Zuttelnipe (verb tense suffix)	ひ⊆⊃⊄っち	ヒ⌽⌺⌻ッチ
Present - Troteng - Desentemme - Tevvelnipe (verb tense suffix)	⊆⊉さかそ⊂⊂	⌽⍀サカソ⌹⌹
Present - Troteng - Desentemme - Gesselnipe (verb tense suffix)	⊈ふ⊈⊃	⌿フ⌿⌺
Present - Troteng - Desentemme - Zuttelnipe (verb tense suffix)	⊅と⊅いゆり	⌼ト⌼イユリ
Present - Troteng - Duturemme - Tevvelnipe (verb tense suffix)	はぬそ⊄むはぬ⊂	ハヌソ⌻ムハヌ⌹
Present - Troteng - Duturemme - Gesselnipe (verb tense suffix)	ちよ⊁て⊀ほ⊇	チヨ⌸テ⌶ホ⌾
Present - Troteng - Duturemme - Zuttelnipe (verb tense suffix)	る⊅た	ル⌼タ
Present - Hotejeng - Dastemme - Tevvelnipe (verb tense suffix)	⊁く⊉りっき⊃やお	⌸ク⍀リッキ⌺ヤオ
Present - Hotejeng - Dastemme - Gesselnipe (verb tense suffix)	らすし⊄	ラスシ⌻
Present - Hotejeng - Dastemme - Zuttelnipe (verb tense suffix)	⊊けに⊋らねほめ	⍁ケニ⍂ラネホメ
Present - Hotejeng - Desentemme - Tevvelnipe (verb tense suffix)	なろや▣へ	ナロヤ◈ヘ
Present - Hotejeng - Desentemme - Gesselnipe (verb tense suffix)	まろちなおさあお	マロチナオサアオ
Present - Hotejeng - Desentemme - Zuttelnipe (verb tense suffix)	えせ▣えせは	エセ◈エセハ
Present - Hotejeng - Duturemme - Tevvelnipe (verb tense suffix)	へろや⊈そ	ヘロヤ⌿ソ
Present - Hotejeng - Duturemme - Gesselnipe (verb tense suffix)	⊂⊌は⊉っくのゔ	⌹⍢ハ⍀ックノヴ
Present - Hotejeng - Duturemme - Zuttelnipe (verb tense suffix)	▣もう▣ゔ⊌お	◈モウ◈ヴ⍢オ
Future - Krighteng - Dastemme - Tevvelnipe (verb tense suffix)	し⊄に⊂っほね	シ⌻ニ⌹ッホネ
Future - Krighteng - Dastemme - Gesselnipe (verb tense suffix)	⊇めいれそまと	⌾メイレソマト
Future - Krighteng - Dastemme - Zuttelnipe (verb tense suffix)	りふうもてけ⊌	リフウモテケ⍢
Future - Krighteng - Desentemme - Tevvelnipe (verb tense suffix)	ゔま⊊⊊⊆	ヴマ⍁⍁⌽
Future - Krighteng - Desentemme - Gesselnipe (verb tense suffix)	⊄ち⊌る	⌻チ⍢ル
Future - Krighteng - Desentemme - Zuttelnipe (verb tense suffix)	にらけのらに	ニラケノラニ
Future - Krighteng - Duturemme - Tevvelnipe (verb tense suffix)	ぬい⊍ほみ⊇ろや	ヌイ⍕ホミ⌾ロヤ
Future - Krighteng - Duturemme - Gesselnipe (verb tense suffix)	みおし⊃ち⊆ほ⊋	ミオシ⌺チ⌽ホ⍂
Future - Krighteng - Duturemme - Zuttelnipe (verb tense suffix)	⊉▣す⊋ち	⍀◈ス⍂チ
Future - Troteng - Dastemme - Tevvelnipe (verb tense suffix)	⊂ねにめ	⌹ネニメ
Future - Troteng - Dastemme - Gesselnipe (verb tense suffix)	くにくさ	クニクサ
Future - Troteng - Dastemme - Zuttelnipe (verb tense suffix)	ね⊀そ▣	ネ⌶ソ◈
Future - Troteng - Desentemme - Tevvelnipe (verb tense suffix)	⊋す⊈ろりよ	⍂ス⌿ロリヨ
Future - Troteng - Desentemme - Gesselnipe (verb tense suffix)	⊁▣ち⊈もっあっ	⌸◈チ⌿モッアッ
Future - Troteng - Desentemme - Zuttelnipe (verb tense suffix)	いにきにし⊃⊊ち	イニキニシ⌺⍁チ
Future - Troteng - Duturemme - Tevvelnipe (verb tense suffix)	けれ⊍▣⊁せ⊍な	ケレ⍕◈⌸セ⍕ナ
Future - Troteng - Duturemme - Gesselnipe (verb tense suffix)	へさむたえそへも	ヘサムタエソヘモ
Future - Troteng - Duturemme - Zuttelnipe (verb tense suffix)	⊀す⊊と	⌶ス⍁ト
Future - Hotejeng - Dastemme - Tevvelnipe (verb tense suffix)	や⊉けうっく⊋たな	ヤ⍀ケウック⍂タナ
Future - Hotejeng - Dastemme - Gesselnipe (verb tense suffix)	く⊅こきゆ	ク⌼コキユ
Future - Hotejeng - Dastemme - Zuttelnipe (verb tense suffix)	むりや	ムリヤ
Future - Hotejeng - Desentemme - Tevvelnipe (verb tense suffix)	ろか⊁めはま⊆	ロカ⌸メハマ⌽
Future - Hotejeng - Desentemme - Gesselnipe (verb tense suffix)	⊆⊃あ▣せりけ	⌽⌺ア◈セリケ
Future - Hotejeng - Desentemme - Zuttelnipe (verb tense suffix)	⊂お⊉はひ	⌹オ⍀ハヒ
Future - Hotejeng - Duturemme - Tevvelnipe (verb tense suffix)	⊀きあちろ	⌶キアチロ
Future - Hotejeng - Duturemme - Gesselnipe (verb tense suffix)	に⊊⊉にてめろ	ニ⍁⍀ニテメロ
Future - Hotejeng - Duturemme - Zuttelnip (verb tense suffix)	ろん⊆	ロン⌽
